Subject,Course,Year,Quarter,Title,Instructor,GPA,A,B,C,D,F,W,P,NP
ECE,100,17,WI,Linear Electronic Systems,"Kante, Boubacar",2.953,24.3%,51.2%,9.75%,0%,7.31%,7.31%,0%,0%
ECE,101,17,WI,Linear Systems Fundamentals,"Quest, Kevin B",2.377,18.5%,26.8%,29.6%,9.25%,9.25%,5.55%,0%,0.92%
ECE,102,17,WI,Intro/Active Circuit Design,"Hall, Drew A.",2.701,15.5%,35.2%,21.7%,4.14%,2.59%,20.7%,0%,0%
ECE,103,17,WI,Fundamntls/Devices &amp; Materials,"Tu, Charles",2.722,9.75%,43.9%,34.1%,0%,2.43%,7.31%,0%,0%
ECE,107,17,WI,Electromagnetism,"Kante, Boubacar",2.31,21.8%,28.1%,21.8%,0%,21.8%,6.25%,0%,0%
ECE,109,17,WI,Engineering Probability&amp;Stats,"Zeger, Kenneth A.",2.369,19.4%,29.1%,20.1%,8.95%,11.9%,8.20%,0%,0.74%
ECE,111,17,WI,Advanced Digital Design Proj,"Lin, Bill",3.265,42.8%,34.2%,15.7%,0%,0%,7.14%,0%,0%
ECE,115,17,WI,Fast Prototyping,"Yip, Michael",3.69,76.1%,14.2%,4.76%,0%,0%,0%,4.76%,0%
ECE,121B,17,WI,Energy Conversion,"Esmaili, Gholamreza",2.954,23.4%,39.0%,31.2%,1.56%,0%,4.68%,0%,0%
ECE,125A,17,WI,Intro to Power Electronics I,"Asbeck, Peter Michael",2.796,23.6%,39.4%,26.3%,5.26%,2.63%,2.63%,0%,0%
ECE,135A,17,WI,Semiconductor Physics,"Tu, Charles",2.588,20%,32%,36%,4%,4%,4%,0%,0%
ECE,136L,17,WI,Microelectronics Laboratory,"Dayeh, Shadi Ahmad",3.303,41.1%,32.3%,11.7%,0%,0%,2.94%,2.94%,0%
ECE,145BL,17,WI,Acoustics Lab,"Hildebrand, John A",3.765,80%,15%,5%,0%,0%,0%,0%,0%
ECE,154B,17,WI,Communications Systems II,"Milstein, Laurence B.",2.7,28.5%,38.0%,9.52%,9.52%,9.52%,0%,0%,0%
ECE,161B,17,WI,Digital Signal Processing I,"Nguyen, Truong Quang",3.197,29.0%,54.8%,6.45%,1.61%,1.61%,4.83%,1.61%,0%
ECE,172A,17,WI,Introductn/Intelligent Systems,"Trivedi, Mohan M.",3.213,29.9%,56.8%,10.1%,0%,0%,2.99%,0%,0%
ECE,175A,17,WI,Pattrn Recogn and Machine Lrng,"Vasconcelos, Nuno",2.924,34.2%,32.4%,23.1%,1.85%,4.62%,2.77%,0%,0%
ECE,180,17,WI,Topics in ECE,"Ghoudjehbaklou, Hassan",3.5,68.1%,13.6%,13.6%,0%,0%,4.54%,0%,0%
ECE,180,17,WI,Topics in ECE,"Kunin, Jay Stuart",3.906,100%,0%,0%,0%,0%,0%,0%,0%
ECE,183,17,WI,Optical Electronics,"Mookherjea, Shayan",3.119,45.1%,35.4%,12.9%,0%,6.45%,0%,0%,0%
ECE,184,17,WI,Optical Info Proces&amp;Holography,"Fainman, Yeshaiahu",3.592,61.5%,38.4%,0%,0%,0%,0%,0%,0%
ECE,188,17,WI,Topics in ECE with Lab,"Gessner, Richard K.",3.533,61.7%,29.7%,4.25%,0%,0%,2.12%,2.12%,0%
ECE,191,17,WI,Engineering Group Design Proj,"Cosman, Pamela C.",3.57,60.6%,37.7%,1.63%,0%,0%,0%,0%,0%
ECON,1,17,WI,Principles of Microeconomics,"Santamaria, Martin I",3.089,33.4%,33.4%,21.1%,3.07%,0%,1.36%,6.48%,0.68%
ECON,1,17,WI,Principles of Microeconomics,"Sher, Itai",3.003,27.1%,43.2%,18.5%,3.08%,1.23%,1.23%,3.70%,1.23%
ECON,2,17,WI,Market Imperfections &amp; Policy,"Levkoff, Steven B.",3.055,25.3%,27.1%,17.9%,0.46%,0.92%,5.52%,21.6%,0.92%
ECON,3,17,WI,Principles of Macroeconomics,"Ramey, Valerie A",2.718,24.9%,28.8%,24.7%,6.88%,3.01%,6.23%,4.51%,0.86%
ECON,4,17,WI,Financial Accounting,"Willoughby, Michael Gene",3.023,37.9%,34.8%,17.7%,3.16%,0.63%,3.16%,1.89%,0.63%
ECON,100A,17,WI,Microeconomics A,"Sinitsyn, Maxim",2.696,22.7%,25.7%,17.8%,9.90%,1.98%,14.8%,6.93%,0%
ECON,100B,17,WI,Microeconomics B,"Galperti, Simone",2.873,25.9%,31.8%,31.8%,1.63%,1.96%,5.24%,0.98%,0%
ECON,100C,17,WI,Microeconomics C,"Levkoff, Steven B.",2.885,27.7%,35.8%,31.5%,0.54%,1.08%,1.63%,1.63%,0%
ECON,100A,17,WI,Microeconomics A,"Famulari, Melissa",2.769,27.1%,27.4%,28.3%,2.92%,3.82%,4.71%,5.16%,0.44%
ECON,100BH,17,WI,Honors Microeconomics B,"Machina, Mark Joseph",3.84,75%,18.7%,0%,0%,0%,0%,6.25%,0%
ECON,100C,17,WI,Microeconomics C,"Sinitsyn, Maxim",2.675,21.7%,30.1%,30.7%,5.76%,0.64%,7.69%,3.20%,0%
ECON,101,17,WI,International Trade,"Rauch, James E",2.906,14.4%,46.0%,21.0%,0%,1.31%,11.8%,5.26%,0%
ECON,109,17,WI,Game Theory,"Watson, Joel Christopher",2.976,28.4%,31.8%,23.2%,0%,1.70%,7.38%,6.25%,1.13%
ECON,109T,17,WI,Advanced Topics in Game Theory,"Watson, Joel Christopher",3.973,100%,0%,0%,0%,0%,0%,0%,0%
ECON,110A,17,WI,Macroeconomics A,"Porzio, Tommaso",2.981,25.8%,48.3%,16.8%,0%,2.24%,4.49%,2.24%,0%
ECON,110A,17,WI,Macroeconomics A,"Candido, Maria Teresa",2.879,32.6%,31.1%,25.4%,4.18%,3.80%,1.90%,0.76%,0%
ECON,110AH,17,WI,Honors Macroeconomics A,"Porzio, Tommaso",3.957,100%,0%,0%,0%,0%,0%,0%,0%
ECON,110B,17,WI,Macroeconomics B,"Hamilton, James D.",2.839,24.5%,34.1%,36.8%,1.19%,0.59%,1.49%,1.19%,0%
ECON,110BH,17,WI,Honors Macroeconomics B,"Hamilton, James D.",3.9,88.2%,0%,0%,0%,0%,5.88%,5.88%,0%
ECON,120C,17,WI,Econometrics C,"O, Mun Pyung",2.743,27.1%,26.2%,24.5%,5.08%,5.08%,11.8%,0%,0%
ECON,120A,17,WI,Econometrics A,"Elliott, Graham",2.979,28.8%,39.1%,23.8%,0%,1.90%,4.53%,1.19%,0.47%
ECON,120B,17,WI,Econometrics B,"Dahl, Gordon B.",2.657,21.0%,32.4%,30.1%,3.87%,3.04%,8.03%,0.83%,0.55%
ECON,120BH,17,WI,Honors Econometrics B,"Dahl, Gordon B.",3.922,66.6%,8.33%,0%,0%,0%,16.6%,8.33%,0%
ECON,120C,17,WI,Econometrics C,"Candido, Maria Teresa",2.856,29.7%,24.8%,29.7%,5.67%,0.70%,7.80%,1.41%,0%
ECON,143,17,WI,Experimental Economics,"Andreoni, James",3.504,53.1%,44.6%,2.12%,0%,0%,0%,0%,0%
ECON,145,17,WI,Economics of Ocean Resources,"Squires, Dale E",3.017,32.5%,34.1%,29.0%,0%,0%,3.48%,0.77%,0%
ECON,146,17,WI,Economic Stabilization,"Cohen, Darrel Steven",2.908,26.2%,35.4%,28.3%,2.12%,0%,6.38%,0.70%,0%
ECON,151,17,WI,Public Economics:Expenditure I,"Cullen, Julie",2.853,25.4%,37.2%,29.4%,3.92%,0%,1.96%,1.96%,0%
ECON,164,17,WI,The Indian Economy,"Muralidharan, Karthik",2.833,30.3%,23.2%,16.0%,7.14%,3.57%,5.35%,12.5%,0%
ECON,165,17,WI,Middle East Economics,"Rauch, James E",2.99,28.4%,43.0%,21.1%,0.72%,0.72%,3.64%,2.18%,0%
ECON,171,17,WI,Decisions Under Uncertainty,"Chambers, Christopher P.",2.959,26.8%,39.0%,26.0%,1.91%,0.38%,4.98%,0.76%,0%
ECON,172B,17,WI,Operations Research B,"Newhouse, Herbert S",2.853,23.0%,40.3%,30.1%,1.92%,0.64%,2.56%,0.64%,0%
ECON,172A,17,WI,Operations Research A,"Newhouse, Herbert S",2.841,20%,40.5%,32.8%,1.53%,0%,3.58%,1.53%,0%
ECON,173AL,17,WI,Applied Finance Laboratory,"Willoughby, Michael Gene",4,96%,0%,0%,0%,0%,0%,4%,0%
ECON,173A,17,WI,Financial Markets,"Foster, Carroll Baldwin",2.844,27.7%,27.7%,38.1%,1.73%,0%,2.89%,1.73%,0%
ECON,173B,17,WI,Corporate Finance,"Ramey, Garey",2.841,32.6%,27.8%,25.8%,7.48%,1.36%,4.76%,0%,0%
ECON,174,17,WI,Financial Risk Management,"Foster, Carroll Baldwin",2.857,26.9%,29.2%,28.4%,2.30%,1.53%,11.5%,0%,0%
ECON,176,17,WI,Marketing,"Sinitsyn, Maxim",2.81,25%,34.0%,31.8%,0%,2.27%,4.54%,0%,0%
ECON,191B,17,WI,Senior Essay Seminar B,"Starr, Ross",3.968,100%,0%,0%,0%,0%,0%,0%,0%
EDS,22,17,WI,Education in Cuba,"Velasquez, Patrick",3.95,92.8%,7.14%,0%,0%,0%,0%,0%,0%
EDS,39,17,WI,Prac/Sci&amp;MathTeching/Learning,"Heinzman, Erica M.",3.938,83.3%,5.55%,0%,0%,0%,0%,11.1%,0%
EDS,87,17,WI,Freshman Seminar,"Simon, Elizabeth A",0,0%,0%,0%,0%,0%,8.33%,91.6%,0%
EDS,111,17,WI,Child Family Community,"Cohen, Shana R",3.957,84.6%,3.84%,0%,0%,0%,3.84%,7.69%,0%
EDS,112,17,WI,U.S. Urban Education,"Chapman, Thandeka K",3.861,75%,11.1%,0%,0%,0%,0%,13.8%,0%
EDS,114,17,WI,Cogn Develp&amp;Intractv Compt Env,"Simon, Elizabeth A",3.967,90%,0%,0%,0%,0%,0%,0%,0%
EDS,116,17,WI,Psych/Teach&amp;Struc/Information,"Orozco, Agustin",0,0%,0%,0%,0%,0%,0%,96.7%,0%
EDS,117,17,WI,"Language, Culture &amp; Education","Jones, Makeba",3.956,86.5%,4.47%,0%,0%,0%,1.49%,5.97%,1.49%
EDS,119,17,WI,1st&amp;2nd Lang Lrn:Child to Adol,"Munoz Sanchez, Alicia",3.257,31.2%,43.7%,12.5%,0%,0%,12.5%,0%,0%
EDS,125,17,WI,"Hist,Polic&amp;Theory/Bilingual Ed","Forbes, Cheryl A",3.721,74.3%,5.12%,7.69%,0%,0%,2.56%,10.2%,0%
EDS,126,17,WI,Social Organization/Education,"Jones, Makeba",3.862,68.7%,12.5%,0%,0%,0%,4.16%,14.5%,0%
EDS,128A,17,WI,Intro/Teaching&amp;Learning (Elem),"Bresser, Bernard George",3.819,87.0%,9.67%,3.22%,0%,0%,0%,0%,0%
EDS,129B,17,WI,Intro/Teach&amp;Learn (Secondary),"Black, Alison Michelle",3.904,92.5%,1.85%,0%,0%,1.85%,3.70%,0%,0%
EDS,130,17,WI,Intro/Acad Ment/Elem Schl Stdn,"Holtzman, Caren Lynn",3.32,60%,20%,2%,2%,8%,0%,8%,0%
EDS,136,17,WI,Intro/Acad Tut/Second Schl Std,"Chung, Luz Marina",3.902,84.0%,9.09%,0%,0%,0%,0%,6.81%,0%
EDS,137,17,WI,Intro/Discipl/Specific Teachng,"Whiteside, Linda Sue",3.86,72.7%,18.1%,0%,0%,0%,0%,9.09%,0%
EDS,139,17,WI,Practicum in Teaching/Learning,"Black, Alison Michelle",0,0%,0%,0%,0%,0%,3.70%,74.0%,1.85%
EDS,139,17,WI,Practicum in Teaching/Learning,"Chung, Luz Marina",0,0%,0%,0%,0%,0%,0%,98.1%,0%
EDS,139,17,WI,Practicum in Teaching/Learning,"Holtzman, Caren Lynn",0,0%,0%,0%,0%,0%,0%,94.1%,5.88%
EDS,140,17,WI,Intro Action Rsrch P-12 Edu,"Chung, Luz Marina",3.977,100%,0%,0%,0%,0%,0%,0%,0%
ENVR,110,17,WI,Environmental Law,"Ochoa, Edward Henry",2.588,23.8%,19.4%,17.9%,7.46%,7.46%,7.46%,13.4%,2.98%
ERC,192A,17,WI,Global Service Prep Seminar,"Evans, Ivan T",3.7,21.4%,0%,0%,0%,0%,0%,78.5%,0%
ESYS,102,17,WI,The Solid and Fluid Earth,"Russell, Lynn M.",3.138,34.5%,41.6%,17.8%,0%,1.19%,2.38%,2.38%,0%
ETHN,2,17,WI,Intro:CirculationsofDifference,"Yang, K. Wayne",3.732,58.9%,7.75%,1.43%,0.57%,0.57%,2.87%,27.5%,0.28%
ETHN,20,17,WI,Intro to Asian Amer Studies,"Visweswaran, Kamala",3.396,31.5%,28.9%,2.63%,2.63%,0%,5.26%,26.3%,2.63%
ETHN,100B,17,WI,InterdisciplinaryMethodologies,"Vora, Kalindi",3.666,72.7%,15.1%,9.09%,0%,0%,3.03%,0%,0%
ETHN,104,17,WI,"Race, Space, &amp; Segregation","De Leon, Justin",3.78,74.4%,17.0%,2.12%,0%,0%,0%,6.38%,0%
ETHN,106,17,WI,"Life, Death and the Human","Kini, Ashvin Rathnanand",3.263,31.0%,41.3%,10.3%,0%,0%,3.44%,6.89%,6.89%
ETHN,118,17,WI,Contemprary Immigration Issues,"Nguyen, Linh Thuy",3.475,43.7%,25%,6.25%,0%,0%,12.5%,12.5%,0%
ETHN,120,17,WI,Race/Perfrm: Poltcs Poplr Cult,"Kheshti, Roshanak",3.775,82.3%,5.88%,5.88%,0%,0%,0%,5.88%,0%
ETHN,121,17,WI,Contemp Asian American History,"Nguyen, Linh Thuy",3.2,24%,36%,12%,0%,0%,12%,16%,0%
ETHN,124,17,WI,Asian American Literature,"Blanco, John D",3.752,58.6%,13.7%,0%,0%,0%,0%,27.5%,0%
ETHN,126,17,WI,Comp Filip&amp;Viet Am Ident&amp;Cmnty,"Villegas, Mark Redondo",3.705,64%,20%,0%,0%,0%,4%,12%,0%
ETHN,143,17,WI,Chicana/o Film &amp; Media Studies,"Villegas, Mark Redondo",3.505,61.9%,23.8%,9.52%,0%,0%,4.76%,0%,0%
ETHN,163E,17,WI,Decolonial Theory,"Taylor-Garcia, Daphne",3.475,83.3%,0%,8.33%,0%,8.33%,0%,0%,0%
ETHN,165,17,WI,Sex&amp;Gendr/Afr Amer Communities,"Kini, Ashvin Rathnanand",3.146,28.5%,57.1%,0%,0%,7.14%,0%,7.14%,0%
ETHN,172,17,WI,Topics/African-American Prose,"Childs, Dennis R.",3.538,40%,40%,0%,0%,0%,20%,0%,0%
ETHN,187,17,WI,Latina/o Sexualities,"De Leon, Justin",3.467,47.0%,35.2%,5.88%,0%,0%,5.88%,5.88%,0%
FMPH,180B,17,WI,Advanced Practicum II,"Navarro, Ana",3.746,84.6%,7.69%,7.69%,0%,0%,0%,0%,0%
FPMU,40,17,WI,Introduction to Public Health,"Trinidad, Dennis Ryan",3.71,74.5%,25.4%,0%,0%,0%,0%,0%,0%
FPMU,50,17,WI,Primary Care and Public Health,"Johnson, Michelle Lee",2.958,23.6%,52.2%,19.0%,2.01%,1.50%,1.50%,0%,0%
FPMU,101,17,WI,Epidemiology,"Aldelaimy, Wael",2.358,10.5%,29.8%,43.8%,8.77%,3.50%,3.50%,0%,0%
FPMU,102,17,WI,Biostatistics in Public Health,"Vaida, Florin",3.444,60.1%,24.0%,9.25%,1.85%,0.92%,3.70%,0%,0%
FPMU,110,17,WI,Health Behavior &amp; Chronic Dis,"Linke, Sarah Elizabeth",3.16,30.4%,56.5%,10.8%,0%,0%,2.17%,0%,0%
FPMU,110,17,WI,Health Behavior &amp; Chronic Dis,"Marquez, Becky",2.761,16.0%,48.2%,32.1%,1.78%,1.78%,0%,0%,0%
FPMU,120,17,WI,Health Policies Healthy Lfesty,"McMenamin, Sara B",3.506,59.3%,32.8%,7.81%,0%,0%,0%,0%,0%
FPMU,130,17,WI,Environment &amp; Occuption Health,"Checkoway, Harvey",3.933,95.8%,4.16%,0%,0%,0%,0%,0%,0%
GLBH,150A,17,WI,GLBH Capstone Seminar I,"Csordas, Thomas J.",3.831,86.2%,13.7%,0%,0%,0%,0%,0%,0%
GLBH,150A,17,WI,GLBH Capstone Seminar I,"Jenkins, Janis A.",3.752,89.6%,10.3%,0%,0%,0%,0%,0%,0%
HDP,98,17,WI,Directed Group Study,"Ackerman, Farrell",0,0%,0%,0%,0%,0%,5.88%,94.1%,0%
HDP,110,17,WI,Brain &amp; Behavioral Development,"Blumenthal, Emily Jeanne",3.38,46.8%,40.6%,7.81%,0%,0%,3.12%,1.56%,0%
HDP,121,17,WI,The Developing Mind,"Deak, Gedeon O.",3.176,40%,23.3%,16.6%,3.33%,0%,10%,3.33%,3.33%
HDP,133,17,WI,Socio-Cultural Foundations,"Parish, Steven Martin",3.759,80.5%,16.8%,1.29%,0%,0%,1.29%,0%,0%
HDP,150,17,WI,Senior Seminar,"Ark, Wendy S",3.69,75%,25%,0%,0%,0%,0%,0%,0%
HDP,171,17,WI,Diversity in Human Development,"Blaise, Jean G",3.676,52.6%,36.8%,0%,0%,0%,0%,10.5%,0%
HDP,181,17,WI,Exper Proj/Human Dev. Research,"Blumenthal, Emily Jeanne",3.466,50%,43.7%,6.25%,0%,0%,0%,0%,0%
HDP,191,17,WI,Field Resrch/Human Development,"Butt, Waqas H",3.346,36.6%,53.3%,3.33%,0%,0%,6.66%,0%,0%
HIAF,112,17,WI,West Africa Since 1880,"Rosenfeld, Susan Alexandra",3.714,59.2%,22.2%,0%,0%,0%,3.70%,14.8%,0%
HIEA,112,17,WI,Japan:Mid-19th C.-US Occupatn,"Matsumura, Wendy Y",3.158,11.8%,53.9%,2.63%,0%,0%,1.31%,30.2%,0%
HIEA,124,17,WI,Life in Ming China (1368-1644),"Schneewind, Sarah",3.147,45.4%,4.54%,13.6%,0%,4.54%,4.54%,27.2%,0%
HIEA,137,17,WI,Women &amp; Family/Chinese History,"Lu, Weijing",2.935,27.6%,29.7%,23.4%,4.25%,0%,4.25%,10.6%,0%
HIEA,153,17,WI,Social&amp;Cultural Hist/20c Korea,"Henry, Todd A.",3.191,18.5%,40.7%,5.55%,0%,0%,3.70%,31.4%,0%
HIEU,102,17,WI,Roman History,"Watts, Edward J.",3.298,35.6%,33.9%,5.21%,1.73%,0.86%,5.21%,15.6%,1.73%
HIEU,107,17,WI,PaganEurope&amp;ChristianAftermath,"Caciola, Nancy A",3.417,39.3%,24.2%,3.03%,0%,3.03%,12.1%,15.1%,3.03%
HIEU,122,17,WI,Ancient Greece 1600-400 BC,"Demetriou, Denise",3.152,20%,50%,13.3%,0%,0%,0%,16.6%,0%
HIEU,127,17,WI,Sport in the Modern World,"Edelman, Robert S.",3.437,33.3%,40.7%,1.85%,0%,0%,1.85%,22.2%,0%
HIEU,143,17,WI,Europn Intellct Hst(1870-1945),"Frolich, Margrit Luise",3.305,30.6%,57.1%,2.04%,0%,0%,2.04%,8.16%,0%
HIEU,158,17,WI,Why Hitler? How Auschwitz?,"Hertz, Deborah",3.432,45.8%,15.2%,11.7%,0%,1.17%,7.05%,18.8%,0%
HILA,101,17,WI,Lat Amer Independnce 1810-1898,"Hunefeldt, Christine",3.617,36.3%,18.1%,0%,0%,0%,36.3%,9.09%,0%
HILA,121A,17,WI,History of Brazil through 1889,"Graham, Jessica Lynn",3.547,53.8%,30.7%,0%,0%,2.56%,7.69%,2.56%,2.56%
HILA,132,17,WI,Modern Mexico,"Vitz, Matthew",3.195,44.6%,24.2%,10.6%,0.97%,2.91%,2.91%,12.6%,0%
HILD,2B,17,WI,United States History,"Klein, Rachel",3.476,37.7%,25%,0.53%,0.53%,1.06%,1.59%,32.9%,0.53%
HILD,7B,17,WI,Race &amp; Ethnicity/United States,"Man, Simeon S",3.745,44.1%,6.23%,1.89%,0%,0.54%,0.81%,45.5%,0.81%
HILD,11,17,WI,"East Asia &amp; the West,1279-1911","Lu, Weijing",2.81,9.58%,17.3%,6.58%,1.79%,1.79%,5.98%,52.6%,4.19%
HILD,30,17,WI,History of Public Health,"Edington, Claire Ellen",3.513,61.0%,25.1%,5.66%,0.62%,1.25%,2.51%,3.77%,0%
HINE,102,17,WI,The Jews/Their Homelnd/Antiqty,"Goodblatt, David",3.341,33.3%,47.6%,0%,0%,0%,9.52%,9.52%,0%
HINE,109,17,WI,History of the Ottoman Empire,"Shafir, Nir",3.239,41.0%,33.3%,7.69%,0%,2.56%,10.2%,5.12%,0%
HINE,116,17,WI,Mid East/Age of Euro Empires,"Kayali, Hasan",3.305,40%,24%,12%,0%,0%,8%,16%,0%
HINE,119,17,WI,U.S. Mid-East Policy-Post WWII,"Provence, Michael",3.485,53.4%,34.4%,1.72%,0%,0%,0%,10.3%,0%
HISC,106,17,WI,The Scientific Revolution,"Westman, Robert S",2.988,15.1%,27.2%,3.03%,0%,3.03%,6.06%,42.4%,3.03%
HITO,119,17,WI,Human Rights I: Introduction,"Patterson, Patrick H.",3.808,83.3%,16.6%,0%,0%,0%,0%,0%,0%
HIUS,112,17,WI,The U.S. Civil War,"Plant, Rebecca Jo",3.233,39.5%,45.8%,0%,0%,4.16%,4.16%,6.25%,0%
HIUS,151,17,WI,American Legal History 1865-P,"Parrish, Michael E.",3.111,18.7%,25%,12.5%,0%,0%,12.5%,25%,6.25%
HMNR,100,17,WI,Human Rights I: Introduction,"Patterson, Patrick H.",3.762,85.7%,7.14%,0%,0%,0%,0%,7.14%,0%
HUM,1,17,WI,Foundatns/West Civ:Israel&amp;Grce,"Chodorow, Stanley A.",2.56,9.27%,48.3%,35.7%,2.64%,1.98%,1.32%,0%,0%
HUM,1,17,WI,Foundatns/West Civ:Israel&amp;Grce,"Cox, Stephen D.",3.051,19.4%,66.0%,11.5%,0.66%,0.66%,1.65%,0%,0%
HUM,1,17,WI,Foundatns/West Civ:Israel&amp;Grce,"Lee, John Hoon",3.121,32.9%,54.3%,10.1%,0.35%,1.75%,0.35%,0%,0%
HUM,1,17,WI,Foundatns/West Civ:Israel&amp;Grce,"Lyon, Antony J.",3.095,26.9%,58.2%,10.5%,2.11%,0.52%,1.58%,0%,0%
HUM,4,17,WI,"Enlightmnt,Romnt,Rev/1660-1848","Kontje, Todd Curtis",3.081,28.5%,53.5%,9.21%,2.19%,1.75%,4.38%,0%,0%
HUM,4,17,WI,"Enlightmnt,Romnt,Rev/1660-1848","Watkins, Eric",2.841,17.1%,54.4%,16.4%,2.23%,3.73%,5.97%,0%,0%
ICAM,160A,17,WI,Senior Projct/Computing Arts I,"Dubnov, Shlomo",3.714,72.4%,27.5%,0%,0%,0%,0%,0%,0%
ICAM,160A,17,WI,Senior Projct/Computing Arts I,"Alexander, Amy J",3.37,55%,40%,0%,0%,5%,0%,0%,0%
INTL,101,17,WI,Cult &amp; Society/Intrn&#39;l Perspec,"Vitz, Matthew",3.279,43.8%,42.7%,11.2%,0%,0%,2.13%,0%,0%
INTL,102,17,WI,"Econ, Politics &amp; Intn&#39;l Change","Broz, James Lawrence",2.947,26.7%,47.1%,13.6%,3.40%,3.40%,5.68%,0%,0%
INTL,190,17,WI,Seminar/International Studies,"Bharadwaj, Prashant",3.524,52.6%,44.7%,0%,0%,0%,2.63%,0%,0%
INTL,190,17,WI,Seminar/International Studies,"Gilson, Nancy",3.305,50%,36.3%,4.54%,0%,4.54%,4.54%,0%,0%
INTL,190,17,WI,Seminar/International Studies,"Lettieri, Michael Joseph",3.306,29.4%,64.7%,5.88%,0%,0%,0%,0%,0%
INTL,190,17,WI,Seminar/International Studies,"Patterson, Patrick H.",3.595,75%,20%,5%,0%,0%,0%,0%,0%
INTL,190,17,WI,Seminar/International Studies,"Herberg, Mikkal E.",3.218,36.3%,54.5%,9.09%,0%,0%,0%,0%,0%
JAPN,10B,17,WI,First Year Japanese II,"Ross, Kayoko F",3.628,55.7%,22.8%,2.85%,0%,0%,4.28%,12.8%,0%
JAPN,10B,17,WI,First Year Japanese II,"Inada, Minori",3.585,59.7%,22.0%,6.49%,0%,0%,0%,9.09%,0%
JAPN,10B,17,WI,First Year Japanese II,"Simpson, Junko Tokuda",3.534,67.5%,18.9%,2.70%,2.70%,2.70%,0%,5.40%,0%
JAPN,10B,17,WI,First Year Japanese II,"Takeda, Izumi",3.519,50.7%,27.5%,5.79%,0%,0%,0%,14.4%,1.44%
JAPN,10B,17,WI,First Year Japanese II,"Tipton, Yuko",3.815,77.7%,12.5%,1.38%,0%,0%,0%,8.33%,0%
JAPN,20B,17,WI,Second Yr Japanese II,"Inada, Minori",3.718,75.8%,17.2%,3.44%,0%,0%,0%,3.44%,0%
JAPN,20B,17,WI,Second Yr Japanese II,"McKee, Mayumi Mochizuki",3.557,53.8%,28.8%,5.76%,0%,0%,1.92%,7.69%,1.92%
JAPN,130B,17,WI,Third Year Japanese II,"Sato, Kyoko",3.639,61.9%,23.8%,0%,0%,0%,0%,14.2%,0%
JAPN,135B,17,WI,Japanese/Prof Purposes II,"Takeda, Izumi",3.392,53.8%,23.0%,15.3%,0%,0%,7.69%,0%,0%
JAPN,140B,17,WI,Fourth Year Japanese II,"McKee, Mayumi Mochizuki",3.33,60%,20%,10%,10%,0%,0%,0%,0%
JUDA,2,17,WI,Intermediate Hebrew,"Shuster, Alana",3.65,72.7%,18.1%,0%,0%,0%,0%,0%,0%
LATI,50,17,WI,Introduction to Latin America,"Janusz, Andrew James",3.229,17.3%,28%,5.33%,0%,0%,8%,41.3%,0%
LIAB,1B,17,WI,Arabic Conversation,"Saab, Dima",3.53,55.5%,25.9%,3.70%,0%,0%,0%,11.1%,0%
LIAB,1B,17,WI,Arabic Conversation,"El Cheddadi, Youniss",3.589,45.4%,36.3%,0%,0%,0%,0%,18.1%,0%
LIAB,1BX,17,WI,Analysis of Arabic,"Akjeje, Abdelhak",3.57,53.8%,23.0%,0%,0%,0%,0%,20.5%,0%
LIAB,1E,17,WI,Arabic Conversation,"El Cheddadi, Youniss",3.822,66.6%,8.33%,0%,0%,0%,0%,25%,0%
LIAB,1EX,17,WI,Analysis of Arabic,"Akjeje, Abdelhak",3.717,40%,20%,0%,0%,0%,0%,40%,0%
LIDS,19,17,WI,Directed Study-Language,"Goodall, Grant Todd",3.5,33.3%,16.6%,5.55%,0%,0%,22.2%,22.2%,0%
LIFR,1C,17,WI,French Conversation,"Santore, Francoise",3.413,12.7%,14.5%,1.81%,0%,0%,3.63%,60%,5.45%
LIFR,1B,17,WI,French Conversation,"Santore, Francoise",2.993,8.33%,10%,5%,0%,1.66%,11.6%,55%,3.33%
LIFR,1BX,17,WI,Analysis of French,"Santore, Francoise",3.025,10%,10%,5%,1.66%,0%,11.6%,53.3%,3.33%
LIFR,1CX,17,WI,Analysis of French,"Santore, Francoise",3.133,10.9%,10.9%,3.63%,1.81%,0%,5.45%,52.7%,12.7%
LIGM,1BX,17,WI,Analysis of German,"Riebeling, Elke",2.926,21.0%,13.1%,10.5%,6.57%,0%,2.63%,32.8%,7.89%
LIGM,1B,17,WI,German Conversation,"Riebeling, Elke",3.441,32.8%,25%,2.63%,0%,0%,2.63%,28.9%,2.63%
LIGN,7,17,WI,Sign Language and its Culture,"Lepic, Ryan C",3.184,43.4%,34.7%,8.69%,6.52%,0%,0%,6.52%,0%
LIGN,17,17,WI,Making and Breaking Codes,"Kehler, Andrew Scott",3.168,35.7%,26.4%,10.7%,1.42%,2.85%,3.57%,18.5%,0.71%
LIGN,101,17,WI,Introduction/Study of Language,"Lepic, Ryan C",3.112,31.4%,42.6%,8.98%,0%,3.37%,2.24%,8.98%,2.24%
LIGN,105,17,WI,Law and Language,"Schane, Sanford A.",3.159,37.1%,34.2%,20%,0%,0%,2.85%,5.71%,0%
LIGN,111,17,WI,Phonology I,"Bakovic, Eric John",3.156,41.6%,30.5%,19.4%,0%,2.77%,5.55%,0%,0%
